"id","email","name","surname","school_level_id","encrypted_password","confirmed","location_id","active","purchase_id"
1,"desy@morganspa.com","DESY","Admin User",1,"$2a$10$xgrG4htKZTMHqD55VieFR.O9fsVsr2h7OfFLrJMy.rmpFXNwlbIQ6","t",40,"t",1
2,"paparesta@figc.it","Luca","Paparesta",1,"$2a$10$hTd0BSL1fjQ/dkyIWjp.r.kFXL0HFM8fzssB44qsiCRlpV.ySbBZ2","t",41,"t",2
3,"banti@figc.it","Giorgio","Banti",1,"$2a$10$miUpM0uhJQ5UVVU2RnI8/.kMlkqHHaFm6zhpBNDT1lZ.Xzhb9og56","t",42,"t",1
4,"valeri@figc.it","Marco","Valeri",1,"$2a$10$n68myEvGVpKj.HQkOJDMHuOkpUruGcABoyZC09DjIGqt3ilkeYCKu","t",43,"t",
5,"giannoccaro@figc.it","Adolfo","Giannoccaro",1,"$2a$10$B56MnbSPkhojm6Ra1Bf.Qe98iFwWFbIRka1HiHMGFbIeHGQB6iuvS","t",44,"t",
6,"trefoloni@figc.it","Umberto","Trefoloni",1,"$2a$10$Cutz.3R6iEbdixwZiBPQfOgulg82lz8slYeeQwWUixlcnQeZOoteW","t",45,"t",4
7,"de_sanctis@figc.it","Massimo","De Sanctis",1,"$2a$10$oZR7/6DRaL9wqX3DXEgzNOvmjs/i4hWtavQL26R3FH5X67QErwMC2","t",46,"t",4
8,"mazzini@figc.it","Luigi","Mazzini",1,"$2a$10$QKNdOXJM46dHFXjZ3ykU1./8/o7T7qNMfv4sGg7OPQY6KfsY4l6um","t",47,"t",1
9,"carraro@figc.it","Franco","Carraro",1,"$2a$10$Sbv2UIIdtyayzJY588UjM.H.6JPo6i/Eh5NNtTjf2NKZbqxqqhysK","t",48,"t",3
10,"pairetto@figc.it","Fabio","Pairetto",1,"$2a$10$KYS6Bb.qkds0JwxLlKIvJekM3/rAMvA/8y7RmRav69jCgK.25oNKK","t",49,"t",
11,"bergamo@figc.it","Ernesto","Bergamo",1,"$2a$10$5BCRMmOQ/Yf6EyYumtb8IewZZ.eyEH5ku6gBj1XgbiRmXyk/zwN6q","t",50,"t",
12,"celi@figc.it","Giangiorgio","Celi",1,"$2a$10$k3hrPqOpeQVVSrdCKBDwy.VZz2cgVW7lSQ7nouUuJWvqG9BpoL8ZO","t",51,"t",
13,"collina@figc.it","Pierluigi","Collina",1,"$2a$10$VWgDAISopztjHawNLk3xneme5t2bLI1UcF9pbtQO9zCcs9DSBiaN6","t",52,"t",
14,"lotito@figc.it","Claudio","Lotito",1,"$2a$10$rH.FYAq5O3VineDIMtPVMuXRtH0mWIhJ7I4qRcTjsAerP09zVL2tG","t",53,"t",
15,"della_valle@figc.it","Luca","Della Valle",1,"$2a$10$JSihJCNE5rHE0oJNRG9IBuLZpQscmZp.l9ezI3n7NCe6oS6Qrg41W","t",54,"t",
16,"moggi@figc.it","Luciano","Moggi",1,"$2a$10$0EmqH7wBXevmn0ho1tFgiOVnE1Quy1aBWbwHuc6CMQItcIqR/My0K","t",55,"t",
17,"galliani@figc.it","Adriano","Galliani",1,"$2a$10$P/AOwHowDcCiZcwqYRNwpupO83uHN2EJhbHAZzJeXuAW5O0j8MUz2","t",56,"t",
18,"assunzioni@pippo.it","Giorgio","Mastrota",1,"$2a$10$OGinQoin0fQyfWMoSijJhOYdQRHWCAXGjjWMg1BB7HNBZaRhkDklK","t",57,"t",
